cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;cod_dpto;departamento;cod_mpio;municipio;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;año_corte;mes_corte
3791;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE NEIVA;4318;FOREIGN LANGUAGE INSTITUTE;1547  LICENCIA DE FUNCIONAMIENTO;12/22/2008 12:00:00 AM;41;HUILA;41001;NEIVA;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;1364;ORGANIZACION DE PROGRAMAS TÉCNICOS DE LOS ANDES OANDES;1475;04/08/2005 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3798;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;6164;CENTRO DE CAPACITACION EN INFORMATICA INTEGRAL CCI;0446;03/06/2007 12:00:00 AM;52;NARIÑO;52227;CUMBAL;NO;;;;;2020;11
3817;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL VALLE;8300;EDUTECNICA FORMACION PARA TODOS;04339;12/22/2016 12:00:00 AM;76;VALLE DEL CAUCA;76113;BUGALAGRANDE;NO;;;;;2020;11
4911;SECRETARÍA DE EDUCACIÓN DISTRITO SANTA MARTA;6195;ESCUELA TECNICA LABORAL EN ARTES ESCENICAS - FUNDAM;0919;06/28/2012 12:00:00 AM;47;MAGDALENA;47001;SANTA MARTA;NO;;;;;2020;11
3781;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;1729;"INSTITUTO DE CAPACITACION Y FORMACION EDUCATIVA ""SYSTECOM""";0007015;12/19/2001 12:00:00 AM;23;CÓRDOBA;23466;MONTELÍBANO;NO;;;;;2020;11
3759;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;4924;ESCUELA DE GASTRONOMÍA MARIANO MORENO;11316;12/14/2009 12:00:00 AM;5;ANTIOQUIA;5001;MEDELLÍN;SI;CO18.02730;NTC 5555;BUREAU VERITAS;PRIMERA VEZ;2020;11
3770;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE TUNJA;1854;POLITÉCNICO CORONEL JUAN JOSE RONDÓN;0493;12/10/2009 12:00:00 AM;15;BOYACÁ;15001;TUNJA;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;6857;GRUPO EDUCATIVO - UNIDAD DE FORMACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO DE ARTESANIAS DE COLOMBIA;170004;04/30/2012 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3787;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE GIRARDOT;1523;CORPORACION DE ESTUDIOS Y CAPACITACION TECNICA CECTE;0555;06/27/2006 12:00:00 AM;25;CUNDINAMARCA;25307;GIRARDOT;NO;;;;;2020;11
3774;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MANIZALES;4794;FUNDACIÓN CEAR - CENTRO EDUCATIVO DE ALTO RENDIMIENTO;1257;11/10/2010 12:00:00 AM;17;CALDAS;17001;MANIZALES;NO;;;;;2020;11
